resnet14_weight,rf_weight,n,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,recall_Mild,recall_Normal,recall_Severe,multiclass_brier_score,mean_confidence,mean_confidence_correct,mean_confidence_incorrect
0.0,1.0,150,0.7,0.6922317421460629,0.6884493817500438,0.6860128232932396,0.6922317421460629,0.631578947368421,0.98,0.46511627906976744,0.40342849618965154,0.6879342399886317,0.7356357888357525,0.5766306260120166
0.05,0.95,150,0.72,0.710594315245478,0.7079306556430739,0.7070625281151597,0.710594315245478,0.6666666666666666,1.0,0.46511627906976744,0.3986069968681681,0.6779778735961002,0.7158669008715514,0.5805489463163687
0.1,0.9,150,0.7066666666666667,0.6950904392764857,0.6902125951831941,0.6887823486957418,0.6950904392764857,0.6666666666666666,1.0,0.4186046511627907,0.39464383072665044,0.6682308689787052,0.7115796911286315,0.5637996156175192
0.15,0.85,150,0.7066666666666667,0.6950904392764857,0.6902125951831941,0.6887823486957418,0.6950904392764857,0.6666666666666666,1.0,0.4186046511627907,0.39153899732443664,0.6585103435201312,0.701136059187694,0.5558211194119109
0.2,0.8,150,0.7066666666666667,0.6950904392764857,0.6902125951831941,0.6887823486957418,0.6950904392764857,0.6666666666666666,1.0,0.4186046511627907,0.38929249798351273,0.6487898146404988,0.690692423442392,0.547842620708665
0.25,0.75,150,0.7133333333333334,0.7009383924928599,0.6959581442733928,0.6955713995884416,0.7009383924928599,0.6842105263157895,1.0,0.4186046511627907,0.38790433157987764,0.639082229256797,0.6775877224376124,0.5432662345975586
0.3,0.7,150,0.72,0.7067863457092343,0.7016909735356337,0.7025762086805373,0.7067863457092343,0.7017543859649122,1.0,0.4186046511627907,0.38737449710800137,0.6294648658769548,0.6653533574393178,0.5371801732880216
0.35,0.65,150,0.7266666666666667,0.7126342989256086,0.7074146491157687,0.7098252572898799,0.7126342989256086,0.7192982456140351,1.0,0.4186046511627907,0.38770299873871134,0.6198528107453878,0.6532767644202653,0.5309940070731531
0.4,0.6,150,0.72,0.7048823609411125,0.6987794224273612,0.7018051523947749,0.7048823609411125,0.7192982456140351,1.0,0.3953488372093023,0.38888983065682814,0.6103114889402138,0.6446564817973625,0.5219957930218309
0.45,0.55,150,0.7133333333333334,0.6971304229566163,0.689990961835622,0.6935791266284267,0.6971304229566163,0.7192982456140351,1.0,0.37209302325581395,0.39093499843949314,0.6008523877150389,0.6361324500821225,0.5130624650806683
0.5,0.5,150,0.7333333333333333,0.7146742826057392,0.706663570057526,0.717501985754652,0.7146742826057392,0.7719298245614035,1.0,0.37209302325581395,0.39383849648443053,0.591522739252745,0.6205870244807956,0.5115959548756062
0.55,0.44999999999999996,150,0.7466666666666667,0.7263701890384876,0.7177973007832653,0.7355560552477906,0.7263701890384876,0.8070175438596491,1.0,0.37209302325581395,0.39760032739623585,0.5822811027468219,0.6075491695033249,0.5078068007276543
0.6,0.4,150,0.7466666666666667,0.7263701890384876,0.7177973007832653,0.7355560552477906,0.7263701890384876,0.8070175438596491,1.0,0.37209302325581395,0.4022204926214697,0.5731587644010538,0.5980034183134634,0.4999324160276365
0.65,0.35,150,0.7466666666666667,0.7263701890384876,0.7157928788313225,0.7354112554112554,0.7263701890384876,0.8070175438596491,1.0,0.37209302325581395,0.40769899650329583,0.5641551164244519,0.5884576351925419,0.49252664005534497
0.7,0.30000000000000004,150,0.7533333333333333,0.7341221270229837,0.7245183188579415,0.7465079365079365,0.7341221270229837,0.8070175438596491,1.0,0.3953488372093023,0.4140358272816407,0.5556903955310563,0.5774972232732798,0.48909116485886023
0.75,0.25,150,0.7266666666666667,0.7061036311709507,0.6947398424543948,0.7165706359368332,0.7061036311709507,0.7894736842105263,0.98,0.3488372093023256,0.4212309895635129,0.547626837888993,0.5736601056624144,0.47841644307672637
0.8,0.19999999999999996,150,0.7133333333333334,0.6905997552019584,0.6752136752136751,0.6994188459941885,0.6905997552019584,0.7894736842105263,0.98,0.3023255813953488,0.42928448864182117,0.5400827656566892,0.5672415016676949,0.4725017248851167
0.85,0.15000000000000002,150,0.7066666666666667,0.6839330885352917,0.6700332746134273,0.695968695968696,0.6839330885352917,0.7894736842105263,0.96,0.3023255813953488,0.438196318825377,0.5327095228781609,0.5604358289496109,0.4659143309787586
0.9,0.09999999999999998,150,0.6866666666666666,0.6590398476812186,0.6388178459789713,0.6843658641044262,0.6590398476812186,0.8245614035087719,0.92,0.23255813953488372,0.4479664884830665,0.5261034768666828,0.5568921869524859,0.4586303462531144
0.95,0.050000000000000044,150,0.7,0.6688317693458452,0.6425382359516576,0.7217194570135748,0.6688317693458452,0.8771929824561403,0.92,0.20930232558139536,0.4585949839332799,0.5208502899219047,0.5472949688454808,0.45914603910022744
1.0,0.0,150,0.6866666666666666,0.6544131646946824,0.6254808814214755,0.7079107505070993,0.6544131646946824,0.8771929824561403,0.9,0.18604651162790697,0.4700818148365163,0.5173413534959157,0.5444653494265473,0.45789940496708487
